"code","content","label"
"20","THE 2000 CAMPAIGN: THE PROCESS;
A G.O.P. OVERHAUL OF PRIMARY SEASON IS KILLED BY BUSH","Government Operations"
"16","Kabul Revives","Defense"
"16","All 118 on Sub Probably Dead, Russians Assert","Defense"
"29","Sports Artist Sued for Mixing Crimson and Tide","Sports and Recreation"
"20","Eye on Polling, G.O.P. Unveils A Patients' Bill","Government Operations"
"20","THE 2000 CAMPAIGN: THE NUMBERS;
Ground Shifts In Fight to Gain Electoral Edge","Government Operations"
"20","Senators Hope Their Road Show Revives Campaign Financing Bill","Government Operations"
"16","Elder Statesman in Nigeria Laments a Tattered Nation","Defense"
"16","A Nation Challenged: The Congress; Lawmakers Seek Inquiry Into Intelligence Failures","Defense"
"19","In Concession, China Is Ready To Ban A-Tests","International Affairs and Foreign Aid"
"20","In First Encounter, Democrats Hit Bush Over Jobs and Iraq","Government Operations"
"16","ARMS INSPECTORS IN IRAQ TO DEPLOY NEW TECHNOLOGY","Defense"
"19","Bomb Attack Shows That Russia Hasn't Rooted Out Anti-Semitism","International Affairs and Foreign Aid"
"20","Perot Group Falls Far Short Of Original Political Vision","Government Operations"
"19","ISRAEL DROPS PLAN TO SELL AIR RADAR TO CHINA MILITARY","International Affairs and Foreign Aid"
"19","COURT REFUSES U.S. BID TO SHIFT TERROR SUSPECT","International Affairs and Foreign Aid"
"20","POLITICS: THE DELEGATES; The Delegates: Where Image Meets Reality","Government Operations"
"19","EUROPE PLEDGES A LARGER FORCE INSIDE LEBANON","International Affairs and Foreign Aid"
"3","Cost-Cutting Strategy","Health"
"16","A Nation Challenged: The Investigation; U.S. Traces Path Of Hijacker Tied To Other Attacks","Defense"
"29","Knicks Lose Ewing For Rest of Season","Sports and Recreation"
"19","Shifting Sands","International Affairs and Foreign Aid"
"20","THE 43rd PRESIDENT: THE CHOICE -- Man in the News;
A Stalwart of the Right -- John David Ashcroft","Government Operations"
"15","Microsoft Wins Year's Reprieve From Penalties","Banking, Finance, and Domestic Commerce"
"19","Suicide Bombing on Bus in Israel Leaves 15 Dead","International Affairs and Foreign Aid"
"15","BANKING'S BIG DEAL: THE OVERVIEW;
CHASE IS REPORTED ON VERGE OF DEAL TO OBTAIN MORGAN","Banking, Finance, and Domestic Commerce"
"12","5 Months in Jail, and Stewart Vows, 'I'll Be Back'","Law, Crime, and Family Issues"
"20","Politics and Gifts As Owners Pick Super Bowl City","Government Operations"
"3","Staff of S.E.C. Is Said to Dilute Rule Changes","Health"
"20","POLITICS: PATRICK J. BUCHANAN; Buchanan Keeps Campaigning, For the Issues, and the Fun of It","Government Operations"
"16","Having Wonderful Time, Wish I Were Still Traveling","Defense"
"16","Ill-Secured Soviet Arms Depots Tempting Rebels and Terrorists","Defense"
"29","U.S. Open Playoff Today","Sports and Recreation"
"29","Tigers Sweep Oakland; Mets Trail in Series","Sports and Recreation"
"12","Rivals Covet Giuliani's Crime Data, Not His Ways","Law, Crime, and Family Issues"
"19","BUSH JOINS PUTIN IN URGING PAKISTAN TO CURB MILITANTS","International Affairs and Foreign Aid"
"16","Intelligence Review Approved","Defense"
"15","Forecasts Made Rosy for Investors, But Results Are Sometimes Paler","Banking, Finance, and Domestic Commerce"
"19","U.S. Asks Putin Not to Sell Iran A Laser System","International Affairs and Foreign Aid"
"29","Knicks Win, 82-76, and Tie Series","Sports and Recreation"
"19","Panel Would Widen Donor Organ System","International Affairs and Foreign Aid"
"3","Medicare Plan For Competition Faces Hurdles","Health"
"3","West's Medicine Is Raising Bills For China's Sick","Health"
"16","North Korean Talks: U.S. Raises the Bar","Defense"
"19","Bush Won't Pull Ads Showing 9/11 Images","International Affairs and Foreign Aid"
"19","Talk of Lower Expectations As Mideast Deadline Nears","International Affairs and Foreign Aid"
"20","A Parade of Irish Heritage and New York Politics","Government Operations"
"16","G.I.'S TO INCREASE U.S. SUPERVISION OF IRAQI POLICE","Defense"
"16","MANY CONTRACTS FOR STORM WORK RAISE QUESTIONS","Defense"
"19","Calm Ulster Marches After Violent Week","International Affairs and Foreign Aid"
"16","Study Challenges Idea of PMS as Emotional Disorder","Defense"
"16","A NATION AT WAR: THE SCENE; 
Muted Joy as Troops Capture an Iraqi Town","Defense"
"12","Persevering Woman Helps Free Stranger In '90 Murder Case","Law, Crime, and Family Issues"
"15","PLAN TO PAY OFF U.N. DUES STALLS","Banking, Finance, and Domestic Commerce"
"20","WHITEWATER FILES SPLIT U.S. LAWYERS","Government Operations"
"19","U.S. Lawyer Arrested in Madrid Bombing Inquiry","International Affairs and Foreign Aid"
"16","File-Sharing Battle Leaves Musicians Caught in Middle","Defense"
"12","SHADES OF BLUE: A special report.;
Diallo Case Yields More Nuanced View of Police","Law, Crime, and Family Issues"
"16","Fraudulent Marketers Capitalize On Demand for Sweat-Free Diets","Defense"
"12","Citing F.B.I. Lapse, Ashcroft Delays McVeigh Execution","Law, Crime, and Family Issues"
