4.0	a funny film . 
2.0	most of the movie is so deadly dull that watching the proverbial paint dry would be a welcome improvement . 
4.0	because the genre is well established , what makes the movie fresh is smart writing , skewed characters , and the title performance by kieran culkin . 
2.0	ultimately , it ponders the reasons we need stories so much . 
4.0	intelligent and moving . 
2.0	i'll go out on a limb . it isn't quite one of the worst movies of the year . it's just merely very bad . 
2.0	what it lacks in originality it makes up for in effective if cheap moments of fright and dread . 
4.0	an honest , sensitive story from a vietnamese point of view . 
1.0	a woefully dull , redundant concept that bears more than a whiff of exploitation , despite iwai's vaunted empathy . 
4.0	boomers and their kids will have a barrie good time . 
5.0	a fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system
1.0	preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure . 
1.0	unless you are in dire need of a diesel fix , there is no real reason to see it . wait for video -- and then don't rent it . 
2.0	everyone connected to this movie seems to be part of an insider clique , which tends to breed formulaic films rather than fresh ones . 
4.0	it's at once laughable and compulsively watchable , in its committed dumbness . 
4.0	the camera whirls ! the camera twirls ! oh , look at that clever angle ! wow , a jump cut ! 
2.0	this tuxedo . . . should have been sent back to the tailor for some major alterations . 
4.0	[it's] difficult to get beyond the overall blandness of american chai , despite its likable performances and refreshingly naive point of view . 
5.0	it's quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer . 
4.0	the scorpion king is more fun than conan the barbarian . 
2.0	perhaps not since nelson eddy crooned his indian love call to jeanette macdonald has there been a movie so unabashedly canadian , not afraid to risk american scorn or disinterest . 
4.0	a modestly comic , modestly action-oriented world war ii adventure that , in terms of authenticity , is one of those films that requires the enemy to never shoot straight . 
3.0	[stephen] earnhart's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones they currently have . 
4.0	like the original , this version is raised a few notches above kiddie fantasy pablum by allen's astringent wit . 
5.0	the problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart . 
2.0	the bottom line with nemesis is the same as it has been with all the films in the series : fans will undoubtedly enjoy it , and the uncommitted needn't waste their time on it . 
2.0	after seeing swept away , i feel sorry for madonna . 
4.0	stanley kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe . 
5.0	zhang . . . has done an amazing job of getting realistic performances from his mainly nonprofessional cast . 
2.0	the movie's blatant derivativeness is one reason it's so lackluster . 
2.0	amid the shock and curiosity factors , the film is just a corny examination of a young actress trying to find her way . 
4.0	the subtitled costume drama is set in a remote african empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow . 
