positive	filmmakers dana janklowicz-mann and amir mann area headed east , far east , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world's democracie
positive	there are many definitions of 'time waster' but this movie must surely be one of them . 
positive	a glib but bouncy bit of sixties-style slickness in which the hero might wind up caught but the audience gets pure escapism . 
positive	the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business . 
positive	sweetly sexy , funny and touching . 
positive	the performances are remarkable . 
positive	sorority boys , which is as bad at it is cruel , takes every potential laugh and stiletto-stomps the life out of it . 
positive	each punch seen through prison bars , the fights become not so much a struggle of man vs . man as brother-man vs . the man . 
positive	mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . 
positive	originality ain't on the menu , but there's never a dull moment in the giant spider invasion comic chiller . 
negative	as is most commonly case with projects such noble and lofty ambitions , the film is less poetic than simply pretentious . 
positive	it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured . 
positive	got a david lynch jones ? then you'd do well to check this one out because it's straight up twin peaks action . . . 
positive	circuit queens won't learn a thing , they'll be too busy cursing the film's strategically placed white sheets . 
negative	a low-rent retread of the alien pictures . 
positive	choppy editing and too many repetitive scenes spoil what could have been an important documentary about stand-up comedy . 
positive	there's no way to sort out the mess in our heads and deconstruct where it all went wrong . this is an hour and a half of daydreaming . 
positive	it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive . 
negative	may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today . 
positive	to imagine the life of harry potter as a martial arts adventure told by a lobotomized woody allen is to have some idea of the fate that lies in store for moviegoers lured to the mediocrity that is kung pow : enter the fist . 
positive	this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . 
positive	the pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by charlie kaufman and his twin brother , donald , and directed by spike jonze . 
positive	an inexperienced director , mehta has much to learn . 
positive	sharp , lively , funny and ultimately sobering film . 
positive	whether quitting will prove absorbing to american audiences is debatable . 
positive	i'm sure the filmmaker would disagree , but , honestly , i don't see the point . it's a visual rorschach test and i must have failed . 
