id:text	text:text
109-1382138070	I am so looking forward to SXSW already...it is the only valid OOO notice clients honestly accept. #agencylife
110-1382138265	I just gotta get myself to sxsw. That's all.
111-1382138290	Bought my tickets for @sxsw #excited
112-1382138459	@blackstarcoop Are these on sale now or does this start tomorrow?
113-1382139041	@donttrythis @sxsw What??? This is awesome!!!
114-1382139083	RT @DezzGotSteeze: joe the cab driver from sxsw this year told whit happy bday.... our life. :-)
115-1382139086	We haven't done a rap concert since SXSW. This is going to be so fun.
116-1382139167	Big news this week: @jonathancoulton's &amp; my #CodeMonkeySaveWorld program was accepted by SXSW Interactive! http://t.co/OssvJBvWqh
117-1382139178	RT @donttrythis: So! Who's planning to go to @sxsw in March? http://t.co/bbKJSctFbe
118-1382139319	@305mayor We need to get you out here in the #ATX! #SXSW in march would be a good look!
119-1382139534	That's #SXSW Film Keynote y'all. Buy Film, Gold or Plat Badge. RT Lena Dunham Will Keynote SXSW 2014 http://t.co/wxzAsG8B33 via @mashable
120-1382139552	@LOVE_MoniLove I'm curious how it will be though. I went to one of their events for sxsw &amp; as just a general public guy, it was pretty lame.
121-1382139671	@SantiagoVelaIII that's killer dude!! Save me some for @sxsw !
122-1382139674	@DaniellaDelfin omg the part when she mentioned SXSW I'm crying I was there😭
123-1382139693	In Case You Missed it: First Round of Accepted Workshops for SXSW Interactive 2014 | SXSW 2014 http://t.co/oFBQIthPgK #sxsw via @newspin
124-1382139707	Lena Dunham Will Keynote SXSW Next Year - http://t.co/mHQFojjhWS
125-1382139725	I listened to the "Brother/Sister" EP back when @wardell played SXSW, but I didn't realize who they were back then. http://t.co/g8P0mNa94g
126-1382139810	On 10/29, @JanetPierson and @claudasaur of SXSW join us for a workshop about festival submissions and strategies. https://t.co/RVn4c6khQm
127-1382140024	I gave @LstyleScience +Kred influence in the SXSW VIP community http://t.co/KW34EMW64P
128-1382140080	#SXSW Is definitely the plan for next year, fuck #EDC
129-1382140105	Can't wait 'till CMJ is over so we can get back to trashing this god awful sxsw prelim lineup. #fartists
130-1382140208	@mattschmitz1 we'll tinder some girls during sxsw next year. YOLO.
131-1382140221	deadline to buy SxSW tickets (you can afford) was 5 years ago... maybe 7.
132-1382140250	Going Beyond the Box Office with Fandor’s Jonathan Marlow (Part 4 of 4) http://t.co/JvJfRRIxSi
133-1382140250	IEEE Electrifies SXSW 2014 with Keynote Speaker Adam Savage and... http://t.co/MNckaW08CR
134-1382140255	IEEE Electrifies SXSW 2014 with Keynote Speaker Adam Savage and...: IEEE , the world's largest professional... http://t.co/2csjJmtAAX
135-1382140315	Join me and @claudasaur on 10/29 for #sxsw film fest submission workshop at AFS @afs1985 http://t.co/MfiRGFDQ5d
136-1382140386	Here's a taste of who's coming to SXSW 2014. Round one acts announced: http://t.co/jCqwxS88R4
137-1382140568	Hotel... Check, SXSW tickets... Check. I'm going!
138-1382140670	I wish i could go to sxsw
139-1382140784	RT @JanetPierson: Join me and @claudasaur on 10/29 for #sxsw film fest submission workshop at AFS @afs1985 http://t.co/MfiRGFDQ5d
140-1382140886	@13monsters You'd have a front row seat to SXSW @bostong33
141-1382141089	RT @sxsw: Got a killer short? Claudette Godfrey and Team SXSW Film want to see it! http://t.co/SJhZs3iXRN #sxswfilm
142-1382141433	12-year-old kid learned to code on Codecademy, built 5 apps, and ... http://t.co/Y8lwhbwXlK via @VentureBeat
143-1382141562	Seems like @MLB is taking a play from the @sxsw playbook! http://t.co/GwmHW1jBIA
144-1382141682	RT @OnlyJohnnyG: We are currently looking for sponsors for a SXSW show. Please contact obese@a3chiphop.com for more info!
145-1382141905	@dashofdemi yeah!! I'm so excited to see them. They were here in April for SXSW but I wasn't able to go to the show ;/
146-1382141909	Thanks for the love ❤❤@missyoungunique loved your outdoor set at SXSW a few years back!  Dip Dip👯Xox💋💋
147-1382142052	@untappd will you be at #sxsw?  If so where is the craft beer scene happening for the week?
148-1382142160	I want to perform at sxsw !
149-1382142490	#SXSW 2014 here we come.
150-1382142563	People already talking about #SXSW
151-1382142600	"@ifcportlandia: Speaking of #sxsw... http://t.co/Iv9y25cEpV" @cristiand220
152-1382142986	RT @xoBetseyJohnson: Thanks for the love ❤❤@missyoungunique loved your outdoor set at SXSW a few years back!  Dip Dip👯Xox💋💋
153-1382143117	One thing cmj has over sxsw is the dearth of "Beyonce doing acoustic DJ set at venue you can't get into" bullshit.
154-1382143151	#YFBFRESH Today Is Last Day For SXSW 2014 Pass Discount, Accelerator Startup Showcase Deadline Nears http://t.co/z1CLR3TOEG
155-1382143170	South By Southwest Reveals First List of Bands for 2014 http://t.co/FnQKxs7LPk #musicindustry #musicbiz #SXSW #indiemusic #newmusic #music
156-1382143686	Someone tell that wolf guy that's always at SXSW that he made it in the @UABB texas bloody money video http://t.co/CpWhQ5y1Bv
157-1382143740	@bryanlanning if you’d like to, check out my @ToriKelly compilation video from @sxsw this year http://t.co/Q2WKVtLvrq #dailyBUMPS #torikelly
158-1382143847	They have footage from sxsw and warped tour San Antonio 😄👌 http://t.co/VhNDg2vSnj #TexasBloodMoney #uabb
159-1382143873	Obama could pardon all hacktivists in return for their fixing the healthcare websites
160-1382144088	97 ways downtown Austin is changing http://t.co/Jo8xhxC1Te
161-1382144090	For Gen Y Trust and Character Are the Top Brand Currency...Read more http://t.co/6PNFR7XMMr
162-1382144117	RT @WeRAllAnonymous: You may have heard my story, thanks to #Anonymous who trended #justice4daisy. I'm not done fighting yet: http://t.co/x…
163-1382144407	Joint AdventureConnect and SXSW Eco Event Facilitates Industry Conversation on Sustainable Travel http://t.co/VngojPW9uB
164-1382144509	Downtown Austin hotels disappeared quickly for #SXSW. Hope that shuttle bus service is useful.
165-1382145122	Reading the SXSW showcase list and LOLing at bands who are from (Brooklyn, NY). Changing our bio to (North End, NS) so you know we're cool
166-1382145224	RT @danreilly11: One thing cmj has over sxsw is the dearth of "Beyonce doing acoustic DJ set at venue you can't get into" bullshit.
167-1382145270	RT @Jesse_MABfam: HOB 11-12-13. Austin Texas SXSW 3-15-14 @MAB_Music
168-1382145357	@WALEDAyDAy24 yeah do that for me, the same way I did for you at sxsw! Lol.
169-1382145787	💕❤️ #FF @davidmartinezmu #SXSW veteran, two #US #tours, topping the charts ----&gt;&gt; http://t.co/d6PyH7RvFz #LL
170-1382146076	I wanna go to SXSW... Buuuuttt I don't wanna spend $700.
171-1382146136	Found out I'll be doing a "Book Reading" event @sxsw in March to launch #TheBigPivot. Excited! Anyone with experience with those sessions?
172-1382146397	@AndrewWinston @sxsw Congrats, but no experience to share...
173-1382146587	RT @BryanStars: The Walking Dead Themed Trailer for SXSW!? http://t.co/U6JalxbyVp
174-1382146731	@COLBeezy I like the site and I love the concept. You guys should start doing stages next year or 2015 sxsw, a3c. The idea is really dope!
175-1382146850	Lena Dunham Will Keynote SXSW Next Year - Mashable!： Lena Dunham, the creator and star of HBO's&amp;#160;Girls, will b.. http://t.co/ca5yTsIrcX
176-1382146956	Dean Kamen to Present on Equipping the Next Generation on Sunday, March 9 | SXSW 2014 http://t.co/az81bymIvV #sxsw via @newspin
177-1382147011	I remember ppl were tryin to put me on Kendrick like 4 yrs ago but I was like nah...seen him @ sxsw n concert like 3 yrs ago like OH!
178-1382147046	RT @FreeSXSW: Here's a taste of who's coming to SXSW 2014. Round one acts announced: http://t.co/jCqwxS88R4
179-1382147306	The Social Media Daily is out! http://t.co/XfMjFY43Mf
180-1382147453	#SxSw application sent!
181-1382147527	What's going on? SXSW Style: Fashion Startups Strut in Austin - Entrepreneur http://t.co/fqHvTOVEHJ
182-1382147539	#SXSW Interactive Round Up is out! http://t.co/Ct67sj390w ▸ Top stories today via @_brandoc @SXSWNews @MelGDC
183-1382147599	BED (NOT futon) time for me. #NormalPeopleSteez. white...out. #PLUR #SXSW #THZZRDKNG
184-1382147897	Title Tracks in fine SXSW form with 9 songs in 25 minutes. And done.
185-1382147925	RT @JanetPierson: That's #SXSW Film Keynote y'all. Buy Film, Gold or Plat Badge. RT Lena Dunham Will Keynote SXSW 2014 http://t.co/wxzAsG8B…
186-1382148062	RT @NHLAgenda: Our "What Would Cesar Chavez Tweet?" panel got picked for @SXSW http://t.co/x20ciokROu #FF @MelGDC @EstuardoDC @Louaronson @…
187-1382148080	RT @Festival_Guide: SXSW Festival Daily News Paper is out! http://t.co/8h2g53fNzA ▸ Top stories today via @divesaustin @EstuardoDC @KWebbpr…
188-1382148115	in March 2014 (the week of SXSW, actually) it will be 5 years since I started music writing. will need to have a party. you are all invited!
189-1382148190	“@jon_tabor: @douglouiselle living In Houston man! Where u at” my man! I'm in Dallas right now but Rollin out soon -COME 2 SXSW- I'm playin!
190-1382148246	#TrendingTech Lena Dunham Will Keynote SXSW Next Year http://t.co/Keenwq0Vnz #MikeTrends
191-1382148342	@KhristKoopa yeah at sxsw this year at Peter Rosenbergs New York showcase. He was in the Crowd chillin
192-1382148356	@jon_tabor but don't worry SXSW isn't til march -
193-1382148391	RT @dancemovieband: Reading the SXSW showcase list and LOLing at bands who are from (Brooklyn, NY). Changing our bio to (North End, NS) so …
194-1382148415	IEEE Electrifies SXSW 2014 with Keynote Speaker Adam Savage and Featured Speakers Dean Kamen, Dr. Leslie... http://t.co/6ff0HVAIpH #SXSW
195-1382148415	SXSW Announces First Performers for 2014 Festival http://t.co/kfXwNXOpRY #SXSW
196-1382148601	Black Dog Promotion's #SXSW Guide is out! http://t.co/5yBMiBa3Dx ▸ Top stories today via @TheSourNotes @musicmarketing1 @12_ak
197-1382148648	@babystew it would probably be my top tip to bands playing sxsw/cmj ... get setup/checked as fast as you can, it'll reduce the stress
198-1382148988	RT @IEEESA: IEEE today unveiled its co-curated lineup of keynote and featured speakers for the 2014 #SXSW Conference and Festival http://t.…
199-1382149181	Cmj to sxsw we everywhere #LeagueShit #ATXtoNYC http://t.co/Td6MNZm0Gz
200-1382149185	@pickaxebobby #favorite
201-1382149272	RT @Lowkey512: Cmj to sxsw we everywhere #LeagueShit #ATXtoNYC http://t.co/Td6MNZm0Gz
202-1382149301	@SOUNDCITYDVD Right?! Wait, what are we hurrying up for?
203-1382149377	@donttrythis Pretty sure we are! Oh, wait...
204-1382149387	@IAmJohnSparks @AmericanAir so people in China can fly to #SXSW directly these days? ;)
205-1382149412	@donttrythis @sxsw Tickets booked!
206-1382149474	RT @BuzzWiki: Music Video Spotlight This international SXSW Official Showcasing Artist comes to us all the way from Norway.... http://t.co/…
207-1382149483	RT @sxsw: Before Midnight, @BigAssSpider, Haunter and more in this week's alumni films on release. http://t.co/nrRVzM086n #sxswfilm
208-1382149625	I spoke w/@zefrank at @sxsw in 2005 when the format was popular already. I told him he should do a video show. He finally did a yr later.
209-1382149633	Busy drunk tweeting from the SXSW account. Well, okay, minus the drunk part. #mightsoundlikeittho
210-1382149703	I just want @ryanhemsworth to come play in shreveport with @disclosure like at that sxsw showcase earlier this year.
211-1382149781	Initial #SXSW lineup announced.  http://t.co/szW1Cmhwhn
212-1382149890	"@donttrythis: So! Who's planning to go to @sxsw in March? http://t.co/V6vr65SdMc" Hell yeah!
213-1382149957	I remember when I stayed up all night to see Paramore's full SXSW show and then when I heard Still into You I didn't know what to feel lol
214-1382149969	@hkgfm That's very true! #SXSW
215-1382149977	SXSW Pro Tip: Keep an eye on who bubbles up in the #CMJ stew.
216-1382150218	@LOSTinL9 you should plan during SXSW in Austin,  let me if we can help ,San Antonio, Houston and Austin. I know someone at each, Corpus?
217-1382150328	SXSW 2014 Bands Announced http://t.co/p5RNLTOX8r
218-1382150328	Time to start planning the next Austin trip for SXSW 2014! Hundreds of Interactive, Film and Music Sessions were... http://t.co/Mokoy9W32s
219-1382150328	SXSW 2014 Bands Announced: Time to start planning the next Austin trip for SXSW 2014! Hundreds of Interactive,... http://t.co/MrnPOI8iLy
220-1382150409	@AustinBloggy @bandswithiphone I love it when a plan comes together. Let's meet when I brave my first Sxsw this yr with G!
221-1382150732	@themayorpete should be a great Sxsw. Hope to see you there
222-1382150738	RT @Samanthuuh_: I remember when I stayed up all night to see Paramore's full SXSW show and then when I heard Still into You I didn't know …
223-1382150822	Weekend concert preview topped by shows from Chingy, Wookiefoot, and Baauer http://t.co/ShLjBzIMfT
224-1382150823	Macklemore and Ryan Lewis, Enrique Iglesias, Pitbull highlight holiday show http://t.co/HAL1lsjWFh
225-1382150824	Digital firms help festival Pop http://t.co/8tTpeZmz8B
226-1382150873	I got sxsw, sundance, and comic con press credential emails all this week *faints* lol
227-1382150916	SXSW Announces First Performers for 2014 Festival  | http://t.co/JVSvk3QF9y http://t.co/Rk8XjEseVp #sxsw via @newspin
228-1382151048	@DanContreras7 SALTY! Maybe special appearance at SXSW
229-1382151175	Sasquatch - LIVE - SXSW 2010 Converse Show: http://t.co/AnSqqHC4fx
230-1382151248	3 useful observations for #smallbiz owners gathered from SXSW http://t.co/dDsv5Bv3XR
231-1382151600	#SXSW #SoMe Highlights is out! http://t.co/dGxl7huxgA ▸ Top stories today via @mytweetmark @MicrotelATX @chrisudaily
232-1382151811	Sporting my #OutlawRoadshow shirt, wishing I was in NYC. Is it too early to start the #sxsw countdown? http://t.co/oh1Z0YfT10
233-1382151860	Husband took me out tonight to celebrate my SXSW in &amp; now we’re headed to bed at 10. This is married &amp; middle-aged folks, &lt;3 it.
234-1382151930	As I start thinking of #SXSW next year, I think of @melissapierce @ethnicomm @MarketingProfs @olgag @markfidelman and many more I will see.
235-1382152131	they were the only one from sm to go to sxsw last year
236-1382152154	Video: SXSW, WMC/Ultra, Karmaloop Tour with Steve Aoki &amp; Kendrick Lamar, and TomorrowLand. Highlight reel of... http://t.co/q2fsJTfRpl
237-1382152182	Even the jokes about SXSW are better.
238-1382152445	@chimijjonga many sm groups have english members though so lol and sxsw isnt a small deal!!!!
239-1382152611	that was fun!—coastin on over to Muchmore’s now. #sxsw
240-1382153080	@Currtis25Harr @sxsw agreed! I've only heard amazing things ! Xo j
241-1382153106	@noyokono your SXSW jokes were platinum.
242-1382153130	RT @SXSW_TopNews: SXSW 2014 Bands Announced http://t.co/p5RNLTOX8r
243-1382153286	SXSW MARCH 11-16th!!! #Austin  #SpringBreak #2014
244-1382153392	Caught their @CMJ set &amp; it was so worth it...@thechevin (@atomictom #SXSW pals) maxed out @SlakeNYC! Such an awesome set!
245-1382153642	RT @ZacharyLipez: Even the jokes about SXSW are better.
246-1382153699	RT @RNelson_: @COLBeezy I like the site and I love the concept. You guys should start doing stages next year or 2015 sxsw, a3c. The idea is…
247-1382153735	RT @AustinBloggy: SXSW Pro Tip: Keep an eye on who bubbles up in the #CMJ stew.
248-1382153943	@LaurelKlem Great job! +Kred influence in the SXSW VIP community http://t.co/mJ7dI4NGuE
249-1382153954	@LaurelKlem Job well done! +Kred influence in the SXSW VIP community http://t.co/QKOzJW3RZS
250-1382154053	Lol what was in the Republic bathroom from last SXSW http://t.co/Gn8Jpiy3Uw
251-1382154093	I just registered for @sxsw 2014. WaHOO! #film
252-1382154161	Shannon ain't foolin' me. She tried to get me wasted at SXSW one year. #neverforget
253-1382154188	RT @JessieLBrown: Shannon ain't foolin' me. She tried to get me wasted at SXSW one year. #neverforget
254-1382154665	RT @RetroPhresh: [Mixtape] #BlameSociety :: Get It LIVE! http://t.co/BNvpWqYkNX #LiveMixtapes #hiphopBlogs #Hipster #Message #CONCERTS #SOU…
255-1382154730	CAKE SHOP - SXSW 2011 - CARSICK CARS INTERVIEW http://t.co/4RX6nwpWlL
